Date,UK_LowerBound,UK_UpperBound,England_LowerBound,England_UpperBound,EEng_LowerBound,EEng_UpperBound,Lon_LowerBound,Lon_UpperBound,Mid_LowerBound,Mid_UpperBound,NEY_LowerBound,NEY_UpperBound,NW_LowerBound,NW_UpperBound,SE_LowerBound,SE_UpperBound,SW_LowerBound,SW_UpperBound
2020-05-29,0.7,0.9,0.7,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-05,0.7,0.9,0.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-12,0.7,0.9,0.8,1,0.7,0.9,0.8,1,0.8,1,0.7,1,0.8,1,0.8,1,0.8,1.1
2020-06-19,0.7,0.9,0.7,0.9,0.7,0.9,0.7,1,0.8,1,0.7,0.9,0.7,1,0.7,0.9,0.6,0.9
2020-06-26,0.7,0.9,0.7,0.9,0.7,0.9,0.6,0.9,0.7,0.9,0.7,0.9,0.7,1,0.7,0.9,0.6,0.9
2020-07-03,0.7,0.9,0.8,0.9,0.7,0.9,0.8,1.1,0.8,1,0.8,1,0.7,0.9,0.7,1,0.7,1
2020-07-10,0.7,0.9,0.8,1,0.7,1,0.7,1,0.7,0.9,0.7,1,0.7,1,0.8,1,0.7,1.1
2020-07-17,0.7,0.9,0.8,1,0.8,1,0.8,1.1,0.7,1,0.7,0.9,0.7,1,0.8,1,0.7,1.1
2020-07-24,0.7,0.9,0.8,1,0.8,1,0.8,1,0.7,1,0.8,1,0.7,1,0.8,1,0.7,1
2020-07-31,0.8,0.9,0.8,1,0.7,1,0.8,1,0.7,0.9,0.7,0.9,0.8,1.1,0.8,1,0.8,1.1
2020-08-07,0.8,1,0.8,1,0.7,0.9,0.8,1.1,0.8,1,0.8,1,0.8,1.1,0.8,1,0.8,1.1
2020-08-14,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1.1,0.8,0.9,0.8,1
2020-08-21,0.9,1.1,0.9,1,0.8,1,0.9,1.1,0.8,1,0.8,1,0.9,1.1,0.8,1,0.8,1.1
2020-08-28,0.9,1.1,0.9,1.1,0.8,1,0.9,1.1,0.8,1.1,0.8,1,0.9,1.1,0.9,1.1,0.9,1.1
2020-09-04,0.9,1.1,0.9,1,0.8,1,0.9,1.1,0.8,1,0.8,1,0.8,1,0.8,1,0.8,1.1
2020-09-11,1,1.2,1,1.2,0.9,1.2,1.1,1.3,0.9,1.1,1,1.2,1.1,1.3,1,1.2,0.9,1.2
2020-09-18,1.1,1.4,1.2,1.4,1,1.3,1.1,1.4,1.2,1.5,1.2,1.4,1.2,1.5,1.1,1.4,0.9,1.6
2020-09-25,1.2,1.5,1.2,1.5,1.1,1.3,1.2,1.5,1.2,1.5,1.2,1.5,1.2,1.5,1,1.3,1.1,1.4
2020-10-02,1.3,1.6,1.2,1.6,1,1.3,1.2,1.6,1.2,1.5,1.2,1.6,1.2,1.5,1.1,1.4,1.1,1.4
2020-10-09,1.2,1.5,1.2,1.5,1.3,1.6,1.2,1.4,1.2,1.5,1.3,1.5,1.2,1.4,1.2,1.4,1.3,1.6
2020-10-16,1.3,1.5,1.2,1.4,1.3,1.5,1.1,1.4,1.2,1.5,1.3,1.4,1.3,1.5,1.3,1.5,1.3,1.6
2020-10-23,1.2,1.4,1.2,1.4,1.2,1.4,1.1,1.3,1.1,1.3,1.1,1.3,1.1,1.3,1.2,1.5,1.3,1.6
2020-10-30,1.1,1.3,1.1,1.3,1.2,1.4,1.1,1.3,1.2,1.4,1.1,1.3,1,1.2,1.2,1.4,1.2,1.5
2020-11-06,1.1,1.3,1.1,1.3,1.1,1.4,1.1,1.3,1.1,1.3,1.1,1.2,1,1.1,1.2,1.4,1.2,1.4
2020-11-13,1,1.2,1.1,1.2,1.1,1.4,1,1.2,1.1,1.3,1,1.2,0.9,1.1,1.2,1.4,1.2,1.4
2020-11-20,1,1.1,1,1.1,1,1.3,1,1.2,1,1.2,1,1.1,0.8,1,1.1,1.3,1,1.3
2020-11-27,0.9,1,0.9,1,0.9,1.1,1,1.1,0.9,1.1,0.8,1,0.7,0.9,1,1.2,0.9,1.1
2020-12-04,0.8,1,0.8,1,0.9,1,0.9,1.1,0.8,0.9,0.7,0.9,0.7,0.9,0.9,1.1,0.7,1
2020-12-11,0.9,1,0.8,1,0.9,1.1,0.9,1.1,0.8,1,0.7,0.9,0.7,0.9,0.9,1.1,0.8,1
2020-12-18,1.1,1.2,1.1,1.3,1.2,1.4,1.1,1.3,1,1.2,0.9,1.1,0.9,1.1,1.1,1.3,0.9,1.2
2020-12-23,1.1,1.3,1.1,1.4,1.2,1.5,1.2,1.5,1,1.2,0.9,1.1,0.9,1.1,1.2,1.4,1,1.2
2021-01-08,1,1.4,1.1,1.4,1.1,1.3,1.1,1.4,1.1,1.4,1.1,1.4,1,1.4,1.1,1.4,1.1,1.5
2021-01-15,1.2,1.3,1.1,1.3,1,1.3,0.9,1.2,1.2,1.4,1.1,1.3,1.2,1.5,1,1.2,1.2,1.5
2021-01-22,0.8,1,0.8,1,0.6,0.9,0.7,0.9,0.9,1.2,0.8,1.1,0.9,1.2,0.7,1,0.9,1.2
2021-01-29,0.7,1.1,0.7,1,0.7,0.9,0.6,0.9,0.8,1.1,0.8,1.1,0.8,1.1,0.7,0.9,0.8,1.1
2021-02-05,0.7,1,0.7,0.9,0.7,0.9,0.6,0.8,0.7,0.9,0.8,1,0.7,1,0.6,0.9,0.7,0.9
2021-02-12,0.7,0.9,0.7,0.9,0.7,0.9,0.6,0.8,0.7,0.9,0.8,0.9,0.7,0.9,0.7,0.8,0.7,0.9
2021-02-19,0.6,0.9,0.7,0.9,0.6,0.8,0.6,0.8,0.6,0.9,0.7,1,0.6,0.9,0.6,0.8,0.6,0.9
2021-02-26,0.6,0.9,0.7,0.9,0.6,0.8,0.6,0.8,0.7,0.9,0.7,0.9,0.7,0.9,0.7,0.9,0.6,0.8
2021-03-05,0.7,0.9,0.7,0.9,0.6,0.8,0.6,0.8,0.7,0.9,0.7,1,0.7,0.9,0.6,0.8,0.6,0.8
2021-03-12,0.6,0.8,0.6,0.8,0.6,0.8,0.6,0.8,0.6,0.8,0.7,0.9,0.6,0.8,0.6,0.8,0.5,0.8
2021-03-19,0.6,0.9,0.7,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0.7,0.9,0.7,0.9,0.7,0.9,0.6,0.9
2021-03-26,0.7,0.9,0.8,1,0.7,1,0.7,0.9,0.7,1,0.8,1,0.7,1,0.7,1,0.7,0.9
2021-04-02,NA,NA,0.8,1,0.7,1,0.7,1,0.7,1,0.8,1,0.8,1,0.7,1,0.7,1
2021-04-09,NA,NA,0.8,1,0.7,1,0.8,1,0.7,1,0.8,1,0.8,1,0.7,0.9,0.7,1
2021-04-16,NA,NA,0.7,1,0.7,1,0.8,1.1,0.7,1,0.7,1,0.6,0.9,0.6,0.9,0.7,1.1
2021-04-23,NA,NA,0.8,1,0.8,1.1,0.8,1.1,0.7,0.9,0.7,1,0.7,0.9,0.7,0.9,0.7,1.1
2021-04-30,NA,NA,0.8,1.1,0.8,1.1,0.8,1.1,0.7,1,0.8,1,0.7,0.9,0.8,1,0.8,1.2
2021-05-07,NA,NA,0.8,1,0.8,1.1,0.8,1.1,0.8,1,0.7,1,0.7,1,0.8,1.1,0.8,1.1
2021-05-14,NA,NA,0.8,1.1,0.8,1.1,0.8,1,0.8,1,0.8,1,0.8,1.1,0.8,1,0.8,1.1
2021-05-21,NA,NA,0.9,1.1,0.8,1.1,0.9,1.1,0.8,1,0.8,1,0.9,1.2,0.8,1,0.8,1.1
2021-05-28,NA,NA,1,1.1,0.9,1.1,1,1.2,0.9,1,0.8,1,1,1.2,0.8,1,0.9,1.1
2021-06-04,NA,NA,1,1.2,1,1.2,1,1.2,1,1.2,0.9,1.1,1.1,1.3,1,1.2,0.8,1.1
2021-06-11,NA,NA,1.2,1.4,1.1,1.4,1.1,1.4,1.1,1.3,1,1.2,1.3,1.5,1.1,1.4,1,1.3
2021-06-18,NA,NA,1.2,1.4,1.1,1.3,1.1,1.4,1,1.3,1,1.3,1.3,1.5,1,1.3,1,1.5
2021-06-25,NA,NA,1.2,1.4,1.1,1.3,1.1,1.3,1.2,1.4,1.2,1.5,1.1,1.4,1.1,1.3,1.3,1.7
2021-07-02,NA,NA,1.1,1.3,1,1.2,1,1.2,1.1,1.3,1.2,1.4,1,1.2,1.1,1.3,1.3,1.6
2021-07-09,NA,NA,1.2,1.5,1.1,1.5,1.1,1.4,1.2,1.5,4,1.6,1.1,1.2,1.3,1.6,1.3,1.6
2021-07-16,NA,NA,1.2,1.4,1.2,1.5,1.2,1.4,1.3,1.5,1.2,1.6,1,1.3,1.3,1.6,1.2,1.5
2021-07-23,NA,NA,1.2,1.4,1.3,1.5,1.2,1.4,1.2,1.4,1.2,1.5,1,1.2,1.2,1.5,1.3,1.5
2021-07-30,NA,NA,1.1,1.4,1.3,1.5,1.2,1.5,1.1,1.4,1.1,1.3,1,1.2,1.2,1.5,1.2,1.5
